#TYPE System.Diagnostics.EventLogEntry#Application/Microsoft-Windows-LoadPerf/1000
"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"1000","492e41035f9f","System.Byte[]","63","(0)","0","Information","Performance counters for the WmiApRpl (WmiApRpl) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.","Microsoft-Windows-LoadPerf","System.String[]","1000","9/7/2020 3:44:07 AM","9/7/2020 3:44:07 AM","NT AUTHORITY\SYSTEM",,
"1001","492e41035f9f","System.Byte[]","62","(0)","0","Information","Performance counters for the WmiApRpl (WmiApRpl) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.","Microsoft-Windows-LoadPerf","System.String[]","1001","9/7/2020 3:44:07 AM","9/7/2020 3:44:07 AM","NT AUTHORITY\SYSTEM",,
"903","492e41035f9f","System.Byte[]","61","(0)","0","0","The Software Protection service has stopped.
","Software Protection Platform Service","System.String[]","1073742727","9/7/2020 3:42:33 AM","9/7/2020 3:42:33 AM",,,
"16384","492e41035f9f","System.Byte[]","60","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2020-09-07T19:35:33Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","9/7/2020 3:42:33 AM","9/7/2020 3:42:33 AM",,,
"4202","492e41035f9f","System.Byte[]","59","(2)","2","Information","The description for Event ID '1073746026' in Source 'MSDTC 2' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'0', '0', '0', '0', '0', '0', '1', 'Mutual Authentication Required', 'NT AUTHORITY\NetworkService', '0', '0', '1'","MSDTC 2","System.String[]","1073746026","9/7/2020 3:42:03 AM","9/7/2020 3:42:03 AM",,,
"902","492e41035f9f","System.Byte[]","58","(0)","0","0","The Software Protection service has started.
10.0.19041.450","Software Protection Platform Service","System.String[]","1073742726","9/7/2020 3:42:03 AM","9/7/2020 3:42:03 AM",,,
"1041","492e41035f9f","System.Byte[]","57","(0)","0","Error","Failed to collect hardware data. Error code 0xD0000034.","Software Protection Platform Service","System.String[]","3221226513","9/7/2020 3:42:03 AM","9/7/2020 3:42:03 AM",,,
"1003","492e41035f9f","System.Byte[]","56","(0)","0","Information","The Software Protection service has completed licensing status check.
Application Id=55c92734-d682-4d71-983e-d6ec3f16059f
Licensing Status=
1: 2b1d8c38-a393-4062-99b4-84426ab5c83c, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
2: 7305f85e-3cc0-4168-807e-af0afae1f51f, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
3: 7c0f8337-c7c9-4d08-8f43-00939508898d, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
4: 90c362e5-0da1-4bfd-b53b-b87d309ade43, 1, 1 [(0 [0xC004E003, 0, 0], [( 2 0xC004F056 0 0 msft:rm/algorithm/volume/1.0 0x00000000 0)( 1 0x00000000)(?)( 2 0xC004F056 0 0 msft:rm/algorithm/volume/1.0 0x00000000 0)(?)(?)(?)(?)])(1 )(2 )(3 [0x00000000, 0, 0], [( 6 0xC004F009 0 0)( 1 0x00000000)( 6 0xC004F009 0 0)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)( 11 0x00000000 0xC004F056)])]
5: ceae6266-8034-48db-92e4-fc94eb11742f, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]

","Software Protection Platform Service","System.String[]","1073742827","9/7/2020 3:42:03 AM","9/7/2020 3:42:03 AM",,,
"1066","492e41035f9f","System.Byte[]","55","(0)","0","Information","Initialization status for service objects.
C:\Windows\system32\sppwinob.dll, msft:spp/windowsfunctionality/agent/7.0, 0x00000000, 0x00000000
C:\Windows\system32\sppobjs.dll, msft:rm/algorithm/inherited/1.0, 0x00000000, 0x00000000
C:\Windows\system32\sppobjs.dll, msft:rm/algorithm/phone/1.0, 0x00000000, 0x00000000
C:\Windows\system32\sppobjs.dll, msft:rm/algorithm/pkey/detect, 0x00000000, 0x00000000
C:\Windows\system32\sppobjs.dll, msft:spp/ActionScheduler/1.0, 0x00000000, 0x00000000
C:\Windows\system32\sppobjs.dll, msft:spp/TaskScheduler/1.0, 0x00000000, 0x00000000
C:\Windows\system32\sppobjs.dll, msft:spp/statecollector/pkey, 0x00000000, 0x00000000
C:\Windows\system32\sppobjs.dll, msft:spp/volume/services/kms/1.0, 0x00000000, 0x00000000
C:\Windows\system32\sppobjs.dll, msft:spp/volume/services/kms/activationinfo/1.0, 0x00000000, 0x00000000
","Software Protection Platform Service","System.String[]","1073742890","9/7/2020 3:42:02 AM","9/7/2020 3:42:02 AM",,,
"16394","492e41035f9f","System.Byte[]","54","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","9/7/2020 3:42:02 AM","9/7/2020 3:42:02 AM",,,
