#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"The server is using UDP to bind to port 15629.","129","0",,"4","4","18","4611686018427387904","40","Microsoft-Windows-RemoteDesktopServices-RdpCoreTS","1139c61b-b549-4251-8ed3-27250a1edec8","Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational","2460","2492","WIN-4ODLTDU191U","S-1-5-20","8/7/2020 10:36:28 PM","f462886b-5cb1-468a-b245-1f9560490000",,"microsoft-windows-remotedesktopservices-rdpcorets/operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","NetworkBinding","RemoteFX module","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The server is using UDP to bind to port 15629.","129","0",,"4","4","18","4611686018427387904","39","Microsoft-Windows-RemoteDesktopServices-RdpCoreTS","1139c61b-b549-4251-8ed3-27250a1edec8","Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational","2460","2492","WIN-4ODLTDU191U","S-1-5-20","8/7/2020 10:36:28 PM","f462886b-5cb1-468a-b245-1f9560490000",,"microsoft-windows-remotedesktopservices-rdpcorets/operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","NetworkBinding","RemoteFX module","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The server is using TCP to bind to port 15629.","129","0",,"4","4","18","4611686018427387904","38","Microsoft-Windows-RemoteDesktopServices-RdpCoreTS","1139c61b-b549-4251-8ed3-27250a1edec8","Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational","2460","2492","WIN-4ODLTDU191U","S-1-5-20","8/7/2020 10:36:28 PM","f462886b-5cb1-468a-b245-1f9560490000",,"microsoft-windows-remotedesktopservices-rdpcorets/operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","NetworkBinding","RemoteFX module","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The server is using TCP to bind to port 15629.","129","0",,"4","4","18","4611686018427387904","37","Microsoft-Windows-RemoteDesktopServices-RdpCoreTS","1139c61b-b549-4251-8ed3-27250a1edec8","Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational","2460","2492","WIN-4ODLTDU191U","S-1-5-20","8/7/2020 10:36:28 PM","f462886b-5cb1-468a-b245-1f9560490000",,"microsoft-windows-remotedesktopservices-rdpcorets/operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","NetworkBinding","RemoteFX module","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The listener listens with display driver rdpudd.dll available.","70","0",,"4","4","13","4611686018427387904","36","Microsoft-Windows-RemoteDesktopServices-RdpCoreTS","1139c61b-b549-4251-8ed3-27250a1edec8","Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational","2460","2492","WIN-4ODLTDU191U","S-1-5-20","8/7/2020 10:36:28 PM","f462886b-5cb1-468a-b245-1f9560490000",,"microsoft-windows-remotedesktopservices-rdpcorets/operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","RCMProtocolImpl","RemoteFX module","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"'Windows 8 or later detected, setting transport default mode to UDP + TCP' in CUMRDPListenerBase::Initialize at 470 err=[0x0]","229","0",,"4","4","19","4611686018427387904","35","Microsoft-Windows-RemoteDesktopServices-RdpCoreTS","1139c61b-b549-4251-8ed3-27250a1edec8","Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational","2460","2492","WIN-4ODLTDU191U","S-1-5-20","8/7/2020 10:36:28 PM","f462886b-5cb1-468a-b245-1f9560490000",,"microsoft-windows-remotedesktopservices-rdpcorets/operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Runtime","RemoteFX module","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"'Creating standard listener:RDP-Tcp' in CUMRDPProtocolManager::CreateListener at 4167 err=[0x0]","229","0",,"4","4","19","4611686018427387904","34","Microsoft-Windows-RemoteDesktopServices-RdpCoreTS","1139c61b-b549-4251-8ed3-27250a1edec8","Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational","2460","2492","WIN-4ODLTDU191U","S-1-5-20","8/7/2020 10:36:28 PM","f462886b-5cb1-468a-b245-1f9560490000",,"microsoft-windows-remotedesktopservices-rdpcorets/operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Runtime","RemoteFX module","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"'CUMRDPProtocolManager::CreateListener(RDP-Tcp) DEBUG/VM/ReverseTCP/ReverseUDP/INET' in CUMRDPProtocolManager::CreateListener at 4087 err=[0x0]","229","0",,"4","4","19","4611686018427387904","33","Microsoft-Windows-RemoteDesktopServices-RdpCoreTS","1139c61b-b549-4251-8ed3-27250a1edec8","Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational","2460","2492","WIN-4ODLTDU191U","S-1-5-20","8/7/2020 10:36:28 PM","f462886b-5cb1-468a-b245-1f9560490000",,"microsoft-windows-remotedesktopservices-rdpcorets/operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Runtime","RemoteFX module","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The listener listens with display driver rdpudd.dll available.","70","0",,"4","4","13","4611686018427387904","32","Microsoft-Windows-RemoteDesktopServices-RdpCoreTS","1139c61b-b549-4251-8ed3-27250a1edec8","Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational","2460","2624","WIN-4ODLTDU191U","S-1-5-20","8/7/2020 10:36:25 PM","f4623e06-037b-4d9e-a438-9da147e20000",,"microsoft-windows-remotedesktopservices-rdpcorets/operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","RCMProtocolImpl","RemoteFX module","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"'Windows 8 or later detected, setting transport default mode to UDP + TCP' in CUMRDPListenerBase::Initialize at 470 err=[0x0]","229","0",,"4","4","19","4611686018427387904","31","Microsoft-Windows-RemoteDesktopServices-RdpCoreTS","1139c61b-b549-4251-8ed3-27250a1edec8","Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational","2460","2624","WIN-4ODLTDU191U","S-1-5-20","8/7/2020 10:36:25 PM","f4623e06-037b-4d9e-a438-9da147e20000",,"microsoft-windows-remotedesktopservices-rdpcorets/operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Runtime","RemoteFX module","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
