#TYPE System.Diagnostics.EventLogEntry#System/Service Control Manager/1073748860
"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"7036","492e41035f9f","System.Byte[]","383","(0)","0","Information","The RemoteRegistry service entered the stopped state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:49:56 AM","9/7/2020 3:49:56 AM",,,
"7036","492e41035f9f","System.Byte[]","382","(0)","0","Information","The Software Protection service entered the stopped state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:42:33 AM","9/7/2020 3:42:33 AM",,,
"7036","492e41035f9f","System.Byte[]","381","(0)","0","Information","The Distributed Transaction Coordinator service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:42:03 AM","9/7/2020 3:42:03 AM",,,
"7036","492e41035f9f","System.Byte[]","380","(0)","0","Information","The Update Orchestrator Service service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:42:02 AM","9/7/2020 3:42:02 AM",,,
"7036","492e41035f9f","System.Byte[]","379","(0)","0","Information","The Software Protection service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:42:02 AM","9/7/2020 3:42:02 AM",,,
"1014","492e41035f9f","System.Byte[]","378","(1014)","1014","Warning","Name resolution for the name wpad timed out after none of the configured DNS servers responded.","Microsoft-Windows-DNS-Client","System.String[]","1014","9/7/2020 3:40:08 AM","9/7/2020 3:40:08 AM","NT AUTHORITY\NETWORK SERVICE",,
"7036","492e41035f9f","System.Byte[]","377","(0)","0","Information","The DiagTrack service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:40:02 AM","9/7/2020 3:40:02 AM",,,
"7036","492e41035f9f","System.Byte[]","376","(0)","0","Information","The Schedule service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:40:00 AM","9/7/2020 3:40:00 AM",,,
"7036","492e41035f9f","System.Byte[]","375","(0)","0","Information","The Time Broker service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:40:00 AM","9/7/2020 3:40:00 AM",,,
"7026","492e41035f9f","System.Byte[]","374","(0)","0","Information","The following boot-start or system-start driver(s) did not load: 
3ware
ADP80XX
ahcache
amdsata
amdsbs
amdxata
arcsas
atapi
bttflt
cdrom
HpSAMD
iaStorAVC
iaStorV
intelide
isapnp
ItSas35i
LSI_SAS
LSI_SAS2i
LSI_SAS3i
LSI_SSS
megasas
megasas2i
megasas35i
megasr
msisadrv
MsSecFlt
mssmbios
mvumis
NdisCap
NetBIOS
NetBT
nvdimm
nvraid
nvstor
pciide
pdc
percsas2i
percsas3i
pmem
Psched
Ramdisk
sbp2port
scmbus
SgrmAgent
SiSRaid2
SiSRaid4
SmartSAMD
stexstor
storahci
storflt
stornvme
vdrvroot
volmgrx
volsnap
vsmraid
VSTXRAID
Wof","Service Control Manager","System.String[]","3221232498","9/7/2020 3:40:00 AM","9/7/2020 3:40:00 AM",,,
"7036","492e41035f9f","System.Byte[]","373","(0)","0","Information","The iphlpsvc service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:40:00 AM","9/7/2020 3:40:00 AM",,,
"701","492e41035f9f","System.Byte[]","372","(701)","701","Error","Task Scheduler service failed to start Task Compatibility module. Tasks may not be able to register on previous Window versions. Additional Data: Error Value: 2147942450.","Microsoft-Windows-TaskScheduler","System.String[]","701","9/7/2020 3:40:00 AM","9/7/2020 3:40:00 AM","NT AUTHORITY\SYSTEM",,
"701","492e41035f9f","System.Byte[]","371","(701)","701","Error","Task Scheduler service failed to start Task Compatibility module. Tasks may not be able to register on previous Window versions. Additional Data: Error Value: 2147942450.","Microsoft-Windows-TaskScheduler","System.String[]","701","9/7/2020 3:40:00 AM","9/7/2020 3:40:00 AM","NT AUTHORITY\SYSTEM",,
"7036","492e41035f9f","System.Byte[]","370","(0)","0","Information","The Winmgmt service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:39:59 AM","9/7/2020 3:39:59 AM",,,
"7036","492e41035f9f","System.Byte[]","369","(0)","0","Information","The WinRM service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:39:59 AM","9/7/2020 3:39:59 AM",,,
"7036","492e41035f9f","System.Byte[]","368","(0)","0","Information","The UserManager service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:39:57 AM","9/7/2020 3:39:57 AM",,,
"7036","492e41035f9f","System.Byte[]","367","(0)","0","Information","The CryptSvc service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:39:57 AM","9/7/2020 3:39:57 AM",,,
"7036","492e41035f9f","System.Byte[]","366","(0)","0","Information","The LanmanWorkstation service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:39:57 AM","9/7/2020 3:39:57 AM",,,
"7036","492e41035f9f","System.Byte[]","365","(0)","0","Information","The CoreMessagingRegistrar service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:39:56 AM","9/7/2020 3:39:56 AM",,,
"7036","492e41035f9f","System.Byte[]","364","(0)","0","Information","The WinHttpAutoProxySvc service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:39:56 AM","9/7/2020 3:39:56 AM",,,
"7036","492e41035f9f","System.Byte[]","363","(0)","0","Information","The SysMain service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:39:56 AM","9/7/2020 3:39:56 AM",,,
"7036","492e41035f9f","System.Byte[]","362","(0)","0","Information","The RemoteRegistry service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:39:55 AM","9/7/2020 3:39:55 AM",,,
"7001","492e41035f9f","System.Byte[]","361","(0)","0","Error","The LanmanServer service depends on the srv2 service which failed to start because of the following error: 
%%1068","Service Control Manager","System.String[]","3221232473","9/7/2020 3:39:55 AM","9/7/2020 3:39:55 AM",,,
"7001","492e41035f9f","System.Byte[]","360","(0)","0","Error","The srv2 service depends on the srvnet service which failed to start because of the following error: 
%%1077","Service Control Manager","System.String[]","3221232473","9/7/2020 3:39:55 AM","9/7/2020 3:39:55 AM",,,
"7036","492e41035f9f","System.Byte[]","359","(0)","0","Information","The SamSs service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:39:55 AM","9/7/2020 3:39:55 AM",,,
"7036","492e41035f9f","System.Byte[]","358","(0)","0","Information","The Dhcp service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:39:55 AM","9/7/2020 3:39:55 AM",,,
"51046","492e41035f9f","System.Byte[]","357","(4)","4","Information","DHCPv6 client service is started","Microsoft-Windows-DHCPv6-Client","System.String[]","51046","9/7/2020 3:39:55 AM","9/7/2020 3:39:55 AM","NT AUTHORITY\LOCAL SERVICE",,
"7036","492e41035f9f","System.Byte[]","356","(0)","0","Information","The Dnscache service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:39:55 AM","9/7/2020 3:39:55 AM",,,
"50103","492e41035f9f","System.Byte[]","355","(4)","4","Information","DHCPv4 client registered for shutdown notification","Microsoft-Windows-Dhcp-Client","System.String[]","50103","9/7/2020 3:39:55 AM","9/7/2020 3:39:55 AM","NT AUTHORITY\LOCAL SERVICE",,
"50036","492e41035f9f","System.Byte[]","354","(4)","4","Information","DHCPv4 client service is started","Microsoft-Windows-Dhcp-Client","System.String[]","50036","9/7/2020 3:39:55 AM","9/7/2020 3:39:55 AM","NT AUTHORITY\LOCAL SERVICE",,
"7036","492e41035f9f","System.Byte[]","353","(0)","0","Information","The SENS service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:39:55 AM","9/7/2020 3:39:55 AM",,,
"7036","492e41035f9f","System.Byte[]","352","(0)","0","Information","The gpsvc service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:39:55 AM","9/7/2020 3:39:55 AM",,,
"10148","492e41035f9f","System.Byte[]","351","(0)","0","Information","The description for Event ID '468900' in Source 'WinRM' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:","WinRM","System.String[]","468900","9/7/2020 3:39:59 AM","9/7/2020 3:39:59 AM",,,
"7036","492e41035f9f","System.Byte[]","350","(0)","0","Information","The EventSystem service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:39:55 AM","9/7/2020 3:39:55 AM",,,
"7036","492e41035f9f","System.Byte[]","349","(0)","0","Information","The EventLog service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:39:54 AM","9/7/2020 3:39:54 AM",,,
"7036","492e41035f9f","System.Byte[]","348","(0)","0","Information","The cexecsvc service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:39:54 AM","9/7/2020 3:39:54 AM",,,
"7036","492e41035f9f","System.Byte[]","347","(0)","0","Information","The SystemEventsBroker service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:39:54 AM","9/7/2020 3:39:54 AM",,,
"7036","492e41035f9f","System.Byte[]","346","(0)","0","Information","The nsi service entered the running state.","Service Control Manager","System.String[]","1073748860","9/7/2020 3:39:54 AM","9/7/2020 3:39:54 AM",,,
